id,name,mode,lat,lon,live_crowding_percentage,live_data_available,day_of_week,last_updated
940GZZLUKWG,Kew Gardens Underground Station,tube,51.477058,-0.285241,13.66,True,WED,18:11
940GZZLULAD,Ladbroke Grove Underground Station,tube,51.517449,-0.210391,,False,,
940GZZLULBN,Lambeth North Underground Station,tube,51.498808,-0.112315,28.72,True,WED,18:11
940GZZLULGN,Loughton Underground Station,tube,51.641443,0.055476,12.16,True,WED,18:11
940GZZLULGT,Lancaster Gate Underground Station,tube,51.511723,-0.175494,24.19,True,WED,18:11
940GZZLULNB,London Bridge Underground Station,tube,51.505721,-0.088873,58.68,True,WED,18:11
940GZZLULRD,Latimer Road Underground Station,tube,51.513389,-0.217799,33.05,True,WED,18:11
940GZZLULSQ,Leicester Square Underground Station,tube,51.511386,-0.128426,46.45,True,WED,18:11
940GZZLULVT,Liverpool Street Underground Station,tube,51.517372,-0.083182,55.64,True,WED,18:11
940GZZLULYN,Leyton Underground Station,tube,51.556589,-0.005523,19.95,True,WED,18:11
940GZZLULYS,Leytonstone Underground Station,tube,51.568324,0.008194,21.57,True,WED,18:11
940GZZLUMBA,Marble Arch Underground Station,tube,51.513424,-0.158953,25.16,True,WED,18:11
940GZZLUMDN,Morden Underground Station,tube,51.402142,-0.194839,15.27,True,WED,18:11
940GZZLUMED,Mile End Underground Station,tube,51.525122,-0.03364,61.92,True,WED,18:11
940GZZLUMGT,Moorgate Underground Station,tube,51.518176,-0.088322,38.01,True,WED,18:11
940GZZLUMHL,Mill Hill East Underground Station,tube,51.608229,-0.209986,9.35,True,WED,18:11
940GZZLUMMT,Monument Underground Station,tube,51.5107,-0.085969,53.42,True,WED,18:11
940GZZLUMPK,Moor Park Underground Station,tube,51.629845,-0.432454,8.78,True,WED,18:11
940GZZLUMRH,Manor House Underground Station,tube,51.570738,-0.096118,19.12,True,WED,18:11
940GZZLUMSH,Mansion House Underground Station,tube,51.512117,-0.094009,39.67,True,WED,18:11
940GZZLUMTC,Mornington Crescent Underground Station,tube,51.534679,-0.138789,30.72,True,WED,18:11
940GZZLUMVL,Maida Vale Underground Station,tube,51.529777,-0.185758,40.64,True,WED,18:11
940GZZLUMYB,Marylebone Underground Station,tube,51.522322,-0.163207,48.01,True,WED,18:11
940GZZLUNAN,North Acton Underground Station,tube,51.523524,-0.259755,25.58,True,WED,18:11
940GZZLUNBP,Newbury Park Underground Station,tube,51.575726,0.090004,12.81,True,WED,18:11
940GZZLUNDN,Neasden Underground Station,tube,51.553986,-0.249837,19.23,True,WED,18:11
940GZZLUNEN,North Ealing Underground Station,tube,51.517505,-0.288868,11.11,True,WED,18:11
940GZZLUNFD,Northfields Underground Station,tube,51.499319,-0.314719,5.57,True,WED,18:11
940GZZLUNGW,North Greenwich Underground Station,tube,51.50047,0.004287,14.94,True,WED,18:11
940GZZLUNHA,North Harrow Underground Station,tube,51.584872,-0.362408,10.61,True,WED,18:11
940GZZLUNHG,Notting Hill Gate Underground Station,tube,51.509128,-0.196104,44.11,True,WED,18:11
940GZZLUNHT,Northolt Underground Station,tube,51.548236,-0.368699,11.39,True,WED,18:11
940GZZLUNKP,Northwick Park Underground Station,tube,51.578481,-0.318056,19.06,True,WED,18:11
940GZZLUNOW,Northwood Underground Station,tube,51.611053,-0.423829,11.88,True,WED,18:01
940GZZLUNWH,Northwood Hills Underground Station,tube,51.600572,-0.409464,9.54,True,WED,18:11
940GZZLUNWY,North Wembley Underground Station,tube,51.562551,-0.304,13.72,True,WED,18:01
940GZZLUOAK,Oakwood Underground Station,tube,51.647726,-0.132182,10.7,True,WED,18:11
940GZZLUODS,Old Street Underground Station,tube,51.525864,-0.08777,66.47,True,WED,18:01
940GZZLUOSY,Osterley Underground Station,tube,51.481274,-0.352224,8.35,True,WED,18:01
940GZZLUOVL,Oval Underground Station,tube,51.48185,-0.112439,25.64,True,WED,18:01
940GZZLUOXC,Oxford Circus Underground Station,tube,51.515224,-0.141903,48.47,True,WED,18:01
940GZZLUPAC,Paddington Underground Station,tube,51.516581,-0.175689,54.2,True,WED,18:01
940GZZLUPAH,Paddington (H&C Line)-Underground,tube,51.518187,-0.178306,22.38,True,WED,18:01
940GZZLUPCC,Piccadilly Circus Underground Station,tube,51.51005,-0.133798,43.51,True,WED,18:01
940GZZLUPCO,Pimlico Underground Station,tube,51.489097,-0.133761,,False,,
940GZZLUPKR,Park Royal Underground Station,tube,51.527123,-0.284341,13.6,True,WED,18:01
940GZZLUPLW,Plaistow Underground Station,tube,51.531341,0.017451,20.74,True,WED,18:01
940GZZLUPNR,Pinner Underground Station,tube,51.592901,-0.381161,9.49,True,WED,18:01
940GZZLUPRD,Preston Road Underground Station,tube,51.571972,-0.295107,17.83,True,WED,18:01
940GZZLUPSG,Parsons Green Underground Station,tube,51.475277,-0.20117,28.77,True,WED,18:01
940GZZLUPVL,Perivale Underground Station,tube,51.536717,-0.323446,12.06,True,WED,18:01
940GZZLUPYB,Putney Bridge Underground Station,tube,51.468262,-0.208731,28.1,True,WED,18:01
940GZZLUQBY,Queensbury Underground Station,tube,51.594188,-0.286219,7.76,True,WED,18:01
940GZZLUQPS,Queen's Park Underground Station,tube,51.534158,-0.204574,35.35,True,WED,18:01
940GZZLUQWY,Queensway Underground Station,tube,51.510312,-0.187152,32.21,True,WED,18:01
940GZZLURBG,Redbridge Underground Station,tube,51.576243,0.04536,10.72,True,WED,18:01
940GZZLURGP,Regent's Park Underground Station,tube,51.523344,-0.146444,27.22,True,WED,18:01
940GZZLURKW,Rickmansworth Underground Station,tube,51.640207,-0.473703,10.77,True,WED,18:01
940GZZLURMD,Richmond Underground Station,tube,51.463237,-0.301336,33.16,True,WED,18:01
940GZZLURSG,Ruislip Gardens Underground Station,tube,51.560736,-0.41071,13.79,True,WED,18:01
940GZZLURSM,Ruislip Manor Underground Station,tube,51.573202,-0.412973,9.63,True,WED,18:01
940GZZLURSP,Ruislip Underground Station,tube,51.571354,-0.421898,13.99,True,WED,18:01
940GZZLURSQ,Russell Square Underground Station,tube,51.523073,-0.124285,31.82,True,WED,18:01
940GZZLURVP,Ravenscourt Park Underground Station,tube,51.494122,-0.235881,16.71,True,WED,18:01
940GZZLURVY,Roding Valley Underground Station,tube,51.617199,0.043647,0.0,True,WED,18:01
940GZZLURYL,Rayners Lane Underground Station,tube,51.575147,-0.371127,22.84,True,WED,18:01
940GZZLURYO,Royal Oak Underground Station,tube,51.519113,-0.188748,24.04,True,WED,18:01
940GZZLUSBC,Shepherd's Bush (Central) Underground Station,tube,51.504376,-0.218813,45.86,True,WED,18:01
940GZZLUSBM,Shepherd's Bush Market Underground Station,tube,51.505579,-0.226375,23.62,True,WED,18:01
940GZZLUSEA,South Ealing Underground Station,tube,51.501003,-0.307424,9.23,True,WED,18:01
940GZZLUSFB,Stamford Brook Underground Station,tube,51.494917,-0.245704,20.97,True,WED,18:01
940GZZLUSFS,Southfields Underground Station,tube,51.445073,-0.206602,12.82,True,WED,18:01
940GZZLUSGN,Stepney Green Underground Station,tube,51.521858,-0.046596,46.35,True,WED,18:01
940GZZLUSGP,Stonebridge Park Underground Station,tube,51.543959,-0.275892,20.45,True,WED,18:01
940GZZLUSGT,Southgate Underground Station,tube,51.632315,-0.127816,20.3,True,WED,18:01
940GZZLUSHH,South Harrow Underground Station,tube,51.564888,-0.352492,11.7,True,WED,18:01
940GZZLUSJP,St. James's Park Underground Station,tube,51.499544,-0.133608,,False,,
940GZZLUSJW,St. John's Wood Underground Station,tube,51.534521,-0.173948,20.84,True,WED,18:01
940GZZLUSKS,South Kensington Underground Station,tube,51.494094,-0.174138,46.69,True,WED,18:01
940GZZLUSKT,South Kenton Underground Station,tube,51.570232,-0.308433,10.38,True,WED,18:01
940GZZLUSKW,Stockwell Underground Station,tube,51.472184,-0.122644,48.01,True,WED,18:01
940GZZLUSNB,Snaresbrook Underground Station,tube,51.580678,0.02144,12.61,True,WED,18:01
940GZZLUSPU,St. Paul's Underground Station,tube,51.514936,-0.097567,45.73,True,WED,18:01
940GZZLUSRP,South Ruislip Underground Station,tube,51.556853,-0.398915,10.79,True,WED,18:01
940GZZLUSSQ,Sloane Square Underground Station,tube,51.49227,-0.156377,54.75,True,WED,18:01
940GZZLUSTD,Stratford Underground Station,tube,51.541806,-0.003458,36.25,True,WED,18:01
